resistance
0.3877
0.3878
0.3877
0.3877
0.3877
0.3879
0.3899
0.3892
0.3881
0.3873
0.3886
0.3875
0.3876
0.3893
0.3888
0.3886
0.388
0.3886
0.387
0.3872
0.388
0.3877
0.3867
0.3898
